File Name,Summary
java.lang.model.yml,"['java.lang', 'String', False, 'replaceFirst', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'replaceFirst', '', '', 'Argument[1]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'split', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'strip', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'stripIndent', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'stripLeading', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'stripTrailing', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'substring', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'toCharArray', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'toLowerCase', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'toString', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'toUpperCase', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'translateEscapes', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'trim', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'valueOf', '(char)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'valueOf', '(char[])', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'valueOf', '(char[],int,int)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'String', False, 'valueOf', '(CharSequence)', '', 'Argument[0]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'StringBuffer', True, 'StringBuffer', '(CharSequence)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'StringBuffer', True, 'StringBuffer', '(String)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'StringBuilder', True, 'StringBuilder', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'System', False, 'arraycopy', '', '', 'Argument[0]', 'Argument[2]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'Thread', False, 'Thread', '(Runnable)', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'Thread', False, 'Thread', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Thread.name]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Thread', True, 'getName', '()', '', 'Argument[this].SyntheticField[java.lang.Thread.name]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'ThreadLocal', True, 'get', '()', '', 'Argument[this].SyntheticField[java.lang.ThreadLocal.value]', 'ReturnValue', 'value', 'manual']"
